pattern	chi2	cs	te.nl
PUNCT CCONJ PUNCT NOUN DET NOUN PUNCT	26.2987012987013	16	61
ADJ PUNCT PUNCT PUNCT PROPN PUNCT	28.27102803738318	26	81
PROPN PROPN PROPN PROPN PUNCT	29.333333333333332	11	55
ADP DET ADV ADJ NOUN	29.882978723404257	135	241
ADP DET NOUN PUNCT PUNCT PUNCT CCONJ PUNCT PROPN DET NOUN PUNCT	30.0	0	30
PUNCT DET NOUN AUX ADP NUM NOUN VERB CCONJ ADP NUM NOUN VERB PUNCT	31.0	0	31
ADJ PUNCT PUNCT PUNCT PROPN PUNCT PRON VERB	31.114285714285714	1	34
VERB NOUN ADP DET NOUN PUNCT PUNCT PUNCT PROPN PUNCT	32.0	0	32
SYM SYM	32.0	0	32
AUX ADV ADJ	35.098709187547456	766	551
ADP ADJ NUM NOUN	35.56923076923077	99	31
NOUN DET NOUN PUNCT NOUN CCONJ NOUN PUNCT	36.28346456692913	79	175
AUX ADV VERB	37.5125348189415	438	639
ADP VERB NOUN PUNCT	38.888888888888886	462	672
PUNCT PROPN PUNCT PROPN DET NOUN PUNCT NOUN CCONJ NOUN PUNCT	40.0	0	40
PRON ADP DET VERB NOUN PUNCT VERB VERB	40.09090909090909	1	43
ADP NUM	40.378151260504204	220	375
CCONJ PRON VERB ADV	40.5	55	145
INTJ PUNCT	43.08510638297872	1	46
NUM NOUN NUM	43.932203389830505	95	23
ADP NOUN CCONJ NOUN PUNCT	44.28227960819234	673	450
PUNCT ADP PRON AUX	44.44516129032258	119	36
NOUN ADP DET VERB NOUN PUNCT VERB VERB	44.473684210526315	15	80
DET PUNCT PRON AUX	45.149253731343286	79	189
ADP ADJ PROPN PUNCT	45.78260869565217	208	91
AUX VERB AUX ADJ	45.89756097560976	151	54
ADP ADJ PROPN	45.984802431610944	226	103
ADP DET X CCONJ NOUN	46.0	0	46
PART ADJ AUX	46.049180327868854	4	57
PRON SCONJ NUM NOUN	46.62068965517241	3	55
ADJ NOUN PUNCT NOUN NUM PUNCT	47.515151515151516	61	5
NUM NUM NOUN	47.53125	103	25
ADJ NOUN ADP ADJ ADJ PUNCT ADJ	48.13333333333333	98	22
DET ADJ CCONJ ADJ NOUN	50.300840336134456	211	384
AUX PRON VERB	50.89969293756397	377	600
ADP DET NOUN PUNCT PUNCT PUNCT PROPN PUNCT PROPN DET NOUN PUNCT	51.0	0	51
INTJ	52.07142857142857	1	55
PRON ADP PRON VERB	52.403225806451616	67	181
ADP DET PUNCT SCONJ	52.93006993006993	373	199
ADJ NOUN ADJ PRON	53.95514511873351	261	118
AUX VERB ADP ADJ NOUN	54.76605944391179	402	641
NUM PUNCT NUM PUNCT	56.25	62	2
PUNCT PROPN PUNCT ADJ NOUN ADJ PUNCT	56.529411764705884	65	3
NOUN ADP NOUN ADP NOUN ADP DET NOUN PUNCT DET NOUN CCONJ DET NOUN	57.0	0	57
NUM NOUN PUNCT	57.37662337662338	402	214
DET X CCONJ NOUN	60.0	0	60
ADP ADJ NOUN	62.336457723100956	2843	2278
ADJ VERB AUX PUNCT	62.70967741935484	39	147
ADP NUM PROPN NUM	63.059701492537314	1	66
ADP PROPN PUNCT	64.31408775981524	315	551
NOUN PUNCT PUNCT PUNCT PROPN PUNCT PROPN DET NOUN PUNCT	65.05797101449275	1	68
PROPN PROPN PROPN	65.76086956521739	37	147
VERB AUX AUX PUNCT	65.81739130434782	14	101
NOUN ADP DET NOUN ADP DET ADJ NOUN PUNCT VERB VERB	67.7710843373494	4	79
PART NOUN	67.87704918032787	153	335
PUNCT PROPN PUNCT NOUN DET NOUN PUNCT	68.10236220472441	17	110
ADP NUM PROPN	70.4225352112676	21	121
PUNCT CCONJ PUNCT PROPN DET NOUN PUNCT	72.05263157894737	1	75
X X	73.0	0	73
NUM SYM	73.86451612903225	131	24
NOUN ADP DET NOUN PUNCT PUNCT PUNCT PROPN PUNCT	74.0	0	74
DET NUM NOUN	74.390625	59	197
PUNCT X	80.0	0	80
ADP PRON ADJ NOUN	80.00129032258064	263	512
ADP PROPN NUM	80.15151515151516	25	140
ADJ PUNCT ADJ CCONJ ADJ PUNCT	81.75675675675676	129	19
NUM	82.80615384615385	441	209
ADJ PART AUX PUNCT	87.0	0	87
SCONJ ADV NOUN VERB	88.81666666666666	47	193
AUX DET PRON NOUN	90.69465648854961	11	120
PUNCT PRON AUX	95.64851485148515	265	543
ADP PROPN PROPN PUNCT	100.85992217898833	48	209
PRON ADV ADV VERB	101.5228426395939	97	297
AUX PRON ADV ADJ	101.64056939501779	56	225
ADP DET PRON ADJ NOUN	102.35243553008596	80	269
PUNCT DET NOUN AUX ADP NUM NOUN VERB PUNCT	105.0	0	105
AUX ADV ADJ PUNCT SCONJ	106.9620253164557	144	14
X CCONJ NOUN	107.0	0	107
CCONJ PRON VERB PRON	108.8	17	153
SCONJ PRON ADV ADJ AUX	109.0	0	109
PROPN PROPN	112.7	299	621
PUNCT PROPN PUNCT NOUN ADJ PUNCT	113.77777777777777	136	8
VERB PUNCT SCONJ PRON VERB	115.6977886977887	312	95
SCONJ DET PROPN	119.70666666666666	8	142
ADJ ADJ AUX PUNCT	120.8955223880597	44	224
CCONJ PRON AUX ADV	120.96774193548387	18	168
SCONJ ADV	121.49486652977413	315	659
ADP DET NUM NOUN	125.6822429906542	25	189
ADP DET VERB ADP NOUN PUNCT	126.57847533632287	189	480
ADP DET ADJ CCONJ ADJ NOUN	129.52607709750566	101	340
ADP ADJ NOUN CCONJ NOUN	129.69849690539345	757	374
ADP NOUN CCONJ ADJ NOUN	130.22372881355932	786	394
ADJ PUNCT ADJ CCONJ ADJ NOUN	130.5219123505976	216	35
ADP ADJ CCONJ ADJ NOUN	132.5018587360595	567	240
ADP ADJ ADJ NOUN CCONJ	132.9787234042553	360	110
PRON AUX VERB SCONJ PRON	136.24324324324326	3	145
ADJ PUNCT ADJ CCONJ ADJ NOUN PUNCT	138.2429906542056	193	21
PART VERB SCONJ PRON	140.23684210526315	3	149
ADJ AUX AUX PUNCT	142.47976878612718	8	165
PUNCT PROPN PUNCT PROPN DET NOUN PUNCT	143.23225806451612	3	152
ADP DET ADJ ADJ NOUN PUNCT	143.29963459196102	239	582
NOUN PROPN PUNCT	149.15992970123023	775	363
AUX PRON ADV ADV	149.4602510460251	25	214
AUX DET NOUN ADJ	151.47188264058678	233	585
NOUN PUNCT NOUN CCONJ NOUN	162.39770867430443	463	148
PRON AUX ADV ADJ	163.79093198992445	71	326
AUX VERB CCONJ	167.80645161290323	126	432
ADP DET ADJ VERB NOUN	168.87550200803213	104	394
ADP NOUN NUM	172.125	425	119
PART AUX VERB	173.33862433862433	4	185
DET ADJ PROPN	175.38795986622074	35	264
PRON ADV VERB	189.60550458715596	405	903
NOUN PUNCT DET ADV VERB	192.27173913043478	317	51
ADP NOUN CCONJ ADJ NOUN PUNCT	193.70601092896175	668	247
PRON VERB PRON ADV	200.99346405228758	29	277
PRON AUX VERB SCONJ DET NOUN	201.29493087557603	4	213
PART VERB SCONJ DET NOUN	207.28699551569505	4	219
PUNCT DET PRON VERB	208.56805807622504	445	106
ADP DET ADJ PROPN	219.43189368770763	22	279
VERB PRON PUNCT SCONJ	220.37158469945356	325	41
PRON VERB ADV	229.86872586872587	274	762
ADP PRON NOUN PUNCT	231.08871989860583	181	608
PRON PRON VERB	233.52252252252254	258	741
SCONJ PRON ADJ AUX	246.24427480916032	4	258
PRON VERB PUNCT SCONJ	248.9124343257443	474	97
ADP PROPN PROPN	249.77064220183487	53	383
CCONJ DET ADJ NOUN	251.83636363636364	266	779
PUNCT NOUN PUNCT	257.7447528774543	1047	430
SCONJ ADJ NOUN	261.0	1015	406
NUM PUNCT	272.93977812995246	523	108
ADV AUX PRON	274.26666666666665	68	442
PART AUX	292.95616438356166	19	346
DET ADJ ADJ NOUN	295.3991130820399	537	1267
PART VERB SCONJ	303.909604519774	13	341
PRON AUX ADJ	314.46835443037975	201	747
X	315.0	0	315
PROPN	315.64814194844325	1008	1979
ADV AUX VERB	320.6692776327241	271	878
ADJ VERB PUNCT	320.96975806451616	593	1391
ADP DET PROPN PROPN	322.4161849710983	6	340
ADV ADJ PUNCT	324.6403162055336	1110	408
ADJ NOUN PUNCT DET AUX ADJ	328.536	363	12
DET PROPN PROPN	328.625641025641	16	374
ADP DET VERB NOUN	335.03480278422273	482	1242
PUNCT PROPN DET NOUN PUNCT	342.72010178117046	13	380
SCONJ DET ADJ NOUN	344.8814968814969	193	769
AUX VERB ADP NOUN	349.65374541644843	546	1363
PRON VERB SCONJ PRON	357.3611650485437	43	472
PRON NOUN VERB PUNCT	357.66950596252127	263	911
ADJ NOUN PUNCT DET AUX	358.72351885098743	502	55
ADP DET ADJ ADJ NOUN	364.18064516129033	284	956
PART VERB CCONJ	370.636815920398	8	394
ADP DET ADJ NOUN ADP DET ADJ NOUN PUNCT	389.7414829659319	29	470
ADV AUX DET NOUN	395.9083557951482	100	642
VERB PUNCT SCONJ AUX ADJ	433.2207505518764	448	5
PRON AUX DET ADJ NOUN	434.2277580071174	34	528
AUX VERB ADP DET ADJ NOUN	435.50477489768076	84	649
PUNCT ADJ NOUN ADJ PUNCT	444.7404326123128	559	42
PRON AUX PRON	448.18801996672215	41	560
PRON VERB	452.6955320128973	1470	2872
AUX ADJ PUNCT SCONJ	466.47294938917975	545	28
ADP DET VERB ADP NOUN	468.9403430275913	274	1067
ADP DET PROPN PUNCT	488.6160267111853	29	570
NOUN PUNCT DET AUX	496.86477644492913	796	121
PRON VERB SCONJ DET NOUN	522.6123595505618	51	661
ADJ AUX PUNCT	532.1124497991968	134	862
ADP ADJ ADJ NOUN PUNCT	535.4515752625438	1336	378
NOUN CCONJ NOUN	550.0195652173913	1423	417
NOUN PUNCT NOUN ADJ PUNCT	563.5685618729098	804	93
ADP PROPN	582.9835051546391	267	1188
PRON AUX ADV	584.9606986899563	92	824
ADP ADJ NOUN PUNCT	585.6172972972973	2586	1114
AUX VERB ADP	599.400188768287	496	1623
CCONJ	600.2668481960517	2133	805
NOUN PUNCT NOUN PUNCT	612.646408839779	1314	315
ADJ NOUN CCONJ ADJ NOUN PUNCT	617.0421052631579	924	121
ADP ADJ ADJ NOUN	618.1744756804998	1709	532
AUX VERB PUNCT	629.90261496844	518	1700
ADJ CCONJ ADJ NOUN PUNCT	634.5570093457944	947	123
PRON ADJ AUX	648.8025034770515	18	701
ADJ CCONJ ADJ NOUN	715.6104294478528	1135	169
ADP PRON NOUN	725.3957553058676	262	1340
SCONJ PRON	730.163208076276	321	1462
ADJ NOUN PUNCT DET VERB	741.4244604316547	1010	102
NOUN CCONJ NOUN PUNCT	747.5816686251469	1415	287
ADJ NOUN PUNCT NOUN PUNCT	777.0710227272727	1227	181
ADV	849.3241590214067	2770	5405
CCONJ DET NOUN	889.880824742268	478	1947
NOUN CCONJ ADJ NOUN	890.121412803532	1541	271
CCONJ ADJ NOUN PUNCT	911.4741011578305	1432	209
ADP PART VERB PUNCT	912.2085106382979	7	933
ADJ NOUN CCONJ NOUN	974.4186925985954	1597	254
ADP DET VERB ADP DET NOUN	978.4185094185094	64	1157
ADP DET PROPN	998.027902790279	29	1082
DET PROPN	1019.5130361648444	44	1145
VERB	1024.2497501388118	2984	6021
AUX ADJ	1030.310427248282	2602	745
ADP DET NOUN CCONJ DET NOUN	1034.1070866141733	62	1208
AUX VERB ADP DET NOUN	1077.6203473945409	147	1465
NOUN PUNCT DET VERB	1087.0772895712016	1661	228
PRON AUX DET NOUN	1091.9739389426657	66	1277
ADP DET NOUN ADP DET ADJ NOUN PUNCT	1102.8816199376947	47	1237
ADP DET ADJ NOUN PUNCT	1108.7209477247086	471	2188
SCONJ DET NOUN	1160.319167773351	320	1939
ADP DET VERB	1194.531954306885	636	2603
PART VERB PUNCT	1230.8299651567945	53	1382
PRON VERB DET NOUN	1246.201923076923	235	1845
VERB PUNCT SCONJ	1308.6686831084226	1913	236
DET NOUN AUX VERB	1512.0967741935483	225	2100
ADP PART VERB	1606.0615006150063	5	1621
ADJ ADJ NOUN PUNCT	2187.2856296296295	3046	329
ADP NOUN	2214.119770224988	2818	7627
ADP DET NOUN ADP NOUN PUNCT	2276.216147488875	235	2911
PUNCT SCONJ	2325.0773513038384	3115	298
ADP DET NOUN ADP DET NOUN PUNCT	2339.2112036336107	78	2564
PART	2384.3977961432506	344	3286
AUX	2715.9818631492167	1416	5862
ADJ ADJ NOUN	2733.335403726708	3897	450
PART VERB	2743.637091394263	65	2933
ADP DET ADJ NOUN	3178.5075	447	4353
ADP DET ADJ	3326.906072874494	443	4497
NOUN ADJ PUNCT	3337.7505112474437	4465	425
PUNCT	3557.266416069541	7008	1505
DET ADJ NOUN	3864.0151515151515	775	5825
NOUN	3940.5258159763785	9779	2752
DET ADJ	4245.327716443928	739	6145
ADJ NOUN PUNCT	4297.370960468961	6000	653
ADJ	5497.159174159174	10069	1943
ADJ NOUN	6332.437130801688	8614	866
PRON	7331.34973182911	955	9859
ADP	9400.781266490765	1611	13549
ADP DET NOUN	11556.805648344975	417	12755
ADP DET	11590.601833660772	561	13182
DET	15959.311634349031	1127	19089
DET NOUN	17510.560655737703	516	19004
