pattern	chi2	cs	en
PRON NOUN VERB PART VERB	10.0	0	10
AUX PART AUX VERB	10.0	0	10
PART VERB CCONJ VERB	10.0	0	10
ADJ ADP PRON	10.125	7	25
SCONJ PRON AUX ADJ	10.285714285714286	1	13
ADJ NOUN ADP NOUN	10.46376811594203	88	50
ADP NUM PUNCT	10.526315789473685	29	9
DET PUNCT PRON AUX	10.666666666666666	4	20
ADJ NOUN CCONJ VERB	10.714285714285714	18	3
ADP PRON NOUN	10.8	6	24
ADV ADV VERB	10.93939393939394	26	7
SCONJ PRON VERB	10.93939393939394	7	26
PART AUX VERB	11.0	0	11
PRON AUX PART	11.0	0	11
ADP PRON PUNCT	11.266666666666667	17	43
ADP NOUN CCONJ NOUN PUNCT	11.529411764705882	48	20
DET NOUN CCONJ NOUN ADP	11.64516129032258	6	25
DET NOUN ADP DET PROPN NOUN	12.0	0	12
PRON AUX ADJ SCONJ	12.0	0	12
ADP DET PUNCT SCONJ	12.0	12	0
PRON VERB PUNCT SCONJ	12.461538461538462	22	4
AUX ADV ADJ PUNCT	12.518518518518519	40	14
DET NOUN AUX ADJ PUNCT	12.811764705882354	26	59
DET PROPN AUX VERB	13.0	0	13
SCONJ PRON AUX VERB	13.235294117647058	1	16
ADJ NOUN PUNCT DET VERB	13.37037037037037	23	4
ADJ NOUN CCONJ ADJ NOUN PUNCT	13.5	21	3
NOUN CCONJ VERB	13.78688524590164	45	16
NOUN AUX VERB	13.793103448275861	38	78
NUM PUNCT NUM PUNCT	14.0	14	0
ADP DET NOUN ADP ADJ NOUN	14.222222222222221	1	17
PUNCT DET PRON VERB	14.222222222222221	17	1
DET PROPN NOUN	14.222222222222221	1	17
SCONJ	14.44	31	69
VERB PUNCT SCONJ PRON VERB	14.727272727272727	20	2
ADP NOUN	14.766990291262136	71	32
PART AUX DET NOUN	15.0	0	15
ADP DET DET NOUN	15.125	5	27
DET NOUN AUX ADV VERB	15.157894736842104	7	31
DET NOUN ADP NOUN CCONJ NOUN	15.206896551724139	4	25
DET PROPN VERB	15.206896551724139	4	25
PRON AUX AUX ADJ	15.210526315789474	1	18
PART AUX ADJ	16.0	0	16
AUX ADJ PUNCT SCONJ	16.666666666666668	22	2
PRON ADV VERB PART VERB	17.0	0	17
NOUN AUX AUX VERB ADP	17.0	0	17
ADP DET PROPN PROPN PUNCT	17.0	0	17
VERB PRON PUNCT SCONJ	17.19047619047619	20	1
ADP DET ADJ NOUN PUNCT	17.525547445255473	44	93
DET DET NOUN PUNCT	17.753623188405797	17	52
PUNCT DET NOUN AUX VERB ADP NUM NOUN PUNCT	18.0	0	18
AUX PRON PART	18.0	0	18
ADP ADJ NOUN PUNCT	18.666666666666668	112	56
ADJ NOUN CCONJ NOUN	18.666666666666668	35	7
DET VERB NOUN ADP DET NOUN	18.939393939393938	4	29
PUNCT NOUN PUNCT X	19.0	0	19
AUX PART ADJ PUNCT	19.2	3	27
DET NOUN	19.35483870967742	123	63
PRON AUX ADJ PART VERB	20.0	0	20
DET ADJ ADJ NOUN	20.045454545454547	23	65
ADJ ADJ NOUN	20.4468085106383	39	8
NOUN PUNCT DET VERB	20.82857142857143	31	4
DET ADJ NOUN AUX DET NOUN PUNCT	21.16	1	24
PART ADJ NOUN PUNCT	22.348837209302324	6	37
DET ADJ NOUN AUX VERB	22.533333333333335	2	28
ADP DET PROPN	23.058823529411764	3	31
PRON ADV VERB DET NOUN	23.12	8	42
CCONJ	23.901639344262296	88	34
VERB PUNCT SCONJ AUX ADJ	24.0	24	0
PRON AUX VERB PART VERB	24.0	0	24
DET NOUN PART NOUN	24.142857142857142	1	27
ADJ NOUN	24.2	90	35
AUX AUX VERB PUNCT	25.484848484848484	2	31
PRON AUX ADV VERB	25.484848484848484	2	31
NOUN ADP NOUN CCONJ NOUN PUNCT VERB PROPN	26.0	0	26
PART VERB PRON NOUN	26.0	0	26
PRON AUX AUX VERB	26.133333333333333	1	29
PRON AUX ADV ADJ PUNCT	26.470588235294116	2	32
PRON AUX PART ADJ	27.0	0	27
ADP PRON NOUN PUNCT	27.842105263157894	15	61
NOUN ADP ADJ NOUN PUNCT VERB PROPN	29.0	0	29
PRON AUX VERB PART VERB DET NOUN	31.0	0	31
PART VERB ADJ NOUN	31.0	0	31
ADP NOUN PUNCT	31.45662100456621	151	68
DET NOUN ADP NOUN	33.61818181818182	6	49
AUX	34.798449612403104	98	31
PRON AUX ADJ PUNCT	35.28	4	46
PART NOUN PUNCT	35.372093023255815	2	41
PART VERB DET ADJ NOUN	36.0	0	36
AUX VERB	36.0	56	8
AUX PART VERB	36.1	1	39
AUX DET ADJ NOUN	36.84158415841584	20	81
VERB PUNCT SCONJ	37.0	37	0
ADP DET NOUN ADP ADJ NOUN PUNCT	37.16129032258065	7	55
ADP DET ADJ NOUN ADP NOUN	37.440677966101696	6	53
PART VERB PRON	40.0	0	40
VERB PRON PUNCT	42.676767676767675	17	82
PUNCT PRON AUX	43.31372549019608	2	49
ADP DET NOUN PUNCT	44.75342465753425	60	159
ADP DET NOUN	45.714285714285715	30	110
PRON VERB PART VERB	46.0	0	46
PRON AUX PART VERB	47.0	0	47
AUX ADJ	48.166666666666664	82	14
PRON VERB SCONJ	50.275862068965516	2	56
DET NOUN ADP ADJ NOUN	50.8235294117647	15	87
DET ADJ NOUN ADP NOUN	53.06315789473684	12	83
NOUN ADP NOUN PUNCT VERB PROPN	55.0	0	55
NOUN CCONJ NOUN PUNCT	55.41975308641975	74	7
ADJ ADJ NOUN PUNCT	56.46666666666667	91	14
PRON AUX DET ADJ NOUN PUNCT	58.064516129032256	1	61
NOUN PUNCT VERB PROPN	61.06153846153846	1	64
ADP DET NOUN ADP NOUN PUNCT	62.745098039215684	11	91
DET NOUN AUX VERB	65.33333333333333	12	96
PART VERB DET NOUN	66.0	0	66
DET NOUN ADP NOUN PUNCT	72.02564102564102	25	131
AUX ADJ PUNCT	72.68067226890756	106	13
NOUN PUNCT	74.40458015267176	282	111
PRON AUX VERB	80.98473282442748	14	117
DET	82.38064516129032	134	21
ADJ NOUN PUNCT	82.63934426229508	193	51
PUNCT PROPN PUNCT PROPN	89.0	89	0
PRON VERB PRON	90.60377358490567	4	102
PRON VERB DET NOUN	112.69543147208122	24	173
PRON AUX DET NOUN	115.28346456692914	3	124
NOUN ADJ PUNCT	169.32234432234432	244	29
NOUN	254.07375271149675	703	219
NUM PUNCT	323.10746268656715	332	3
X PUNCT	324.0	0	324
VERB	360.3807641633729	641	118
