pattern	chi2	en	te.nl
DET ADJ NOUN ADP NOUN	9.0	27	54
PRON AUX PART ADV VERB	9.0	9	0
ADP DET VERB NOUN PUNCT	9.280701754385966	17	40
SCONJ PRON ADJ AUX	9.307692307692308	1	12
PRON AUX ADJ	9.846153846153847	68	36
ADV AUX PRON	9.96551724137931	6	23
ADJ NOUN PUNCT	10.565714285714286	109	66
PRON AUX DET NOUN	10.62295081967213	79	43
DET DET NOUN PUNCT	10.652173913043478	40	75
ADP DET ADJ ADJ NOUN	10.714285714285714	3	18
PROPN PART NOUN	11.0	11	0
PART ADV VERB	11.0	11	0
AUX ADJ	11.126436781609195	109	65
ADP ADJ	11.266666666666667	48	87
DET NOUN ADP NOUN PUNCT	11.571428571428571	65	110
DET PROPN NOUN	11.64516129032258	25	6
ADJ NOUN PUNCT NOUN PUNCT	11.764705882352942	27	7
AUX VERB ADP ADJ NOUN	11.79245283018868	39	14
DET PROPN PROPN	12.448275862068966	24	5
DET VERB NOUN	12.96	32	68
ADP DET NOUN ADP NOUN PUNCT	13.226086956521739	38	77
ADP PRON PUNCT	13.235294117647058	49	19
PRON ADJ AUX	13.333333333333334	5	25
ADP DET NOUN ADP DET ADJ NOUN PUNCT	13.37037037037037	4	23
ADP NOUN	13.754716981132075	198	279
AUX PRON PART	13.761904761904763	19	2
NOUN VERB ADP NOUN PART NOUN PUNCT VERB PROPN	14.0	14	0
PUNCT PROPN DET NOUN PUNCT	14.0	14	0
PRON AUX PART ADJ	14.0	14	0
ADJ NOUN	14.377245508982035	108	59
ADJ AUX PUNCT	14.877551020408163	11	38
PRON AUX ADJ PUNCT	15.0	45	15
CCONJ DET NOUN	15.076923076923077	12	40
ADP NUM NOUN	15.125	5	27
PRON DET VERB	15.157894736842104	7	31
PRON ADV VERB PART VERB	15.210526315789474	18	1
PUNCT NOUN PUNCT	15.24390243902439	107	57
DET PROPN	15.804878048780488	59	23
AUX PART AUX VERB	16.0	16	0
PROPN PROPN PUNCT	16.133333333333333	26	4
NOUN ADP NOUN NOUN	16.333333333333332	98	49
NOUN ADP NOUN NOUN PUNCT	16.65765765765766	77	34
AUX VERB PUNCT	16.661538461538463	69	126
ADP DET ADJ NOUN PUNCT	16.666666666666668	28	68
PART ADJ PUNCT	16.666666666666668	22	2
NOUN ADP NOUN VERB ADP DET NOUN PUNCT VERB PROPN	17.0	17	0
NOUN AUX AUX VERB ADP	17.06451612903226	27	4
PRON AUX AUX	17.163265306122447	39	10
AUX DET NOUN	17.469483568075116	76	137
ADP NOUN CCONJ NOUN	17.893617021276597	38	9
AUX PART ADJ PUNCT	18.0	18	0
NOUN CCONJ NOUN PUNCT	18.285714285714285	44	12
PRON AUX AUX VERB	18.77777777777778	31	5
SCONJ DET NOUN	18.846153846153847	15	50
PUNCT NOUN PUNCT X	19.0	19	0
ADP DET VERB NOUN	19.058823529411764	16	52
VERB PRON PUNCT	19.253164556962027	59	20
PRON ADV VERB DET NOUN	19.565217391304348	38	8
ADV AUX DET NOUN	20.081967213114755	13	48
PART VERB DET ADJ NOUN	20.161290322580644	28	3
DET NOUN PART NOUN	20.161290322580644	28	3
PRON AUX AUX ADJ	20.166666666666668	23	1
ADP DET NOUN ADP NOUN	21.125	38	90
AUX	21.350404312668463	230	141
ADP DET NOUN ADP DET NOUN PUNCT	22.041666666666668	25	71
ADP DET NOUN PUNCT	22.344827586206897	80	152
ADP NOUN PUNCT	22.735973597359735	193	110
PRON AUX VERB PART VERB DET NOUN	23.14814814814815	26	1
ADP DET ADJ NOUN	23.516129032258064	35	89
ADV PUNCT	23.686567164179106	135	66
ADV	24.0	144	240
NOUN CCONJ VERB	24.142857142857142	51	12
DET ADJ	25.078212290502794	56	123
AUX AUX ADJ	25.137931034482758	28	1
PRON VERB DET NOUN	25.361581920903955	122	55
AUX AUX VERB	26.04225352112676	57	14
PUNCT PROPN PUNCT	27.457142857142856	33	2
PUNCT DET NOUN AUX VERB ADP NUM NOUN CCONJ VERB ADP NUM NOUN PUNCT	28.0	28	0
PART VERB ADJ NOUN	28.488372093023255	39	4
DET NOUN VERB	28.69438202247191	166	279
PART ADJ	28.9	37	3
PUNCT DET NOUN AUX ADP NUM NOUN VERB CCONJ ADP NUM NOUN VERB PUNCT	29.0	0	29
VERB	29.51219512195122	150	260
AUX VERB ADP DET NOUN	29.568421052631578	74	21
DET NOUN ADP NOUN CCONJ NOUN	29.823529411764707	6	45
NOUN ADP DET VERB NOUN PUNCT VERB VERB	31.0	0	31
ADP NOUN PART NOUN	32.0	32	0
NOUN ADP NOUN CCONJ NOUN PUNCT VERB PROPN	33.0	33	0
ADP DET ADJ	33.0	33	99
ADP PART VERB	33.37931034482759	7	51
PART ADJ NOUN PUNCT	33.390243902439025	39	2
AUX AUX	33.906976744186046	70	16
PART VERB PRON	33.92307692307692	47	5
PRON VERB	34.68	201	99
AUX ADJ PUNCT	38.76146788990825	87	22
PART ADJ NOUN	39.093023255813954	42	1
PRON AUX VERB PART VERB	39.705882352941174	48	3
PROPN PUNCT	40.205128205128204	67	11
PROPN PROPN	41.285714285714285	57	6
ADP NOUN CCONJ NOUN PUNCT	45.76056338028169	64	7
PART NOUN	46.11764705882353	62	6
ADP PART VERB PUNCT	46.2962962962963	2	52
ADP DET DET NOUN PUNCT	48.166666666666664	14	82
PRON NOUN VERB PUNCT	51.54545454545455	7	70
SCONJ VERB	51.945945945945944	68	6
PRON AUX	55.696	184	66
PUNCT DET NOUN AUX VERB ADP NUM NOUN PUNCT	56.529411764705884	65	3
PART NOUN PUNCT	57.246153846153845	63	2
PART VERB DET NOUN	58.77777777777778	75	6
DET NOUN ADP NOUN	59.733333333333334	49	161
PRON VERB PART VERB	59.85333333333333	71	4
ADJ VERB PUNCT	59.888888888888886	11	88
NOUN PUNCT	60.24716553287982	302	139
NOUN ADP NOUN PUNCT VERB PROPN	61.0	61	0
ADP	63.595588235294116	179	365
PRON AUX VERB	67.28	158	42
NOUN AUX VERB	70.75778546712803	216	73
ADP DET DET NOUN	72.00869565217391	12	103
ADP DET VERB	73.87692307692308	16	114
PUNCT DET NOUN AUX ADP NUM NOUN VERB PUNCT	74.0	0	74
VERB NOUN PUNCT VERB VERB	75.0	0	75
PRON AUX PART VERB	76.19047619047619	82	2
PART VERB	86.09433962264151	138	21
PRON AUX PART	87.04395604395604	90	1
NUM PUNCT	92.48	123	327
NOUN PUNCT VERB PROPN	104.0	104	0
AUX PART VERB	109.13675213675214	115	2
ADP DET NOUN	116.7867298578199	100	322
AUX PART	119.03252032520325	122	1
ADP DET	122.24009324009324	100	329
PUNCT	123.58041958041959	237	49
DET	130.1159420289855	142	410
PART	137.28813559322035	208	28
DET NOUN	152.75757575757575	122	406
AUX VERB ADP NOUN	167.31578947368422	198	11
AUX VERB ADP	188.08235294117648	237	18
AUX VERB	198.26558891454965	363	70
NUM	236.48525469168902	38	335
PROPN	270.4	336	24
X	290.9779614325069	344	19
X PUNCT	317.1094224924012	326	3
