pattern	chi2	en	te.nl
NOUN VERB ADP NOUN PART NOUN CCONJ NOUN PUNCT VERB PROPN	8.0	8	0
ADP PRON ADJ NOUN	8.012820512820513	131	181
SCONJ PROPN	8.022222222222222	109	71
DET NOUN ADP ADJ NOUN	8.093421779988944	844	965
PRON AUX VERB SCONJ DET NOUN	8.340425531914894	216	160
SCONJ PRON VERB	8.532994923857869	435	353
ADJ NOUN CCONJ ADJ NOUN	8.553772070626003	348	275
ADP DET PROPN SYM NOUN PUNCT PUNCT	9.0	0	9
NUM SYM NUM SYM PROPN	9.0	0	9
PROPN	9.026706231454005	298	376
DET ADJ NOUN ADP NOUN	9.044705882352941	788	912
ADP DET PROPN PUNCT	9.301043219076005	375	296
AUX AUX VERB PUNCT	9.601904761904763	298	227
DET PROPN VERB	9.848484848484848	247	182
PART ADJ AUX	9.894117647058824	28	57
ADP DET SYM SYM NOUN PUNCT PUNCT	10.0	0	10
PUNCT INTJ PUNCT NOUN PROPN PUNCT	10.0	10	0
ADJ ADJ NOUN	10.09407114624506	689	576
DET PROPN	10.175879396984925	77	122
PRON VERB	10.329985652797705	757	637
CCONJ PRON VERB ADV	10.372549019607844	79	125
AUX AUX VERB	10.440993788819876	101	60
PRON AUX ADV	10.588972431077694	232	167
DET ADV ADJ CCONJ ADJ NOUN	10.594594594594595	51	23
SCONJ DET PROPN	10.666666666666666	32	64
SCONJ ADJ NOUN	10.916805324459235	341	260
NOUN AUX ADV AUX VERB	10.974683544303797	144	93
ADJ NOUN ADP NOUN ADP DET NOUN PUNCT NOUN NUM PUNCT VERB PROPN	11.0	11	0
NOUN ADP PROPN ADJ NOUN PUNCT VERB PROPN	11.0	11	0
NOUN CCONJ NOUN PUNCT	11.27182320441989	503	402
ADJ NOUN ADP NOUN	11.338297872340426	1013	867
PROPN ADP DET NOUN PUNCT PUNCT PROPN PROPN PUNCT	11.56	21	4
DET ADJ ADJ ADJ NOUN	11.578313253012048	135	197
PROPN PUNCT	11.642140468227424	179	120
AUX PRON PART	11.705202312138729	109	64
ADJ NOUN PUNCT NOUN PUNCT	11.739682539682539	358	272
ADP DET NUM NOUN	11.876712328767123	84	135
PRON AUX ADV ADJ SCONJ	12.1	102	58
ADP DET NOUN PART NOUN	12.18840579710145	354	267
ADJ PUNCT ADJ CCONJ ADJ NOUN PUNCT	12.297872340425531	64	30
ADP NUM PROPN NUM	12.5	6	26
PRON ADV AUX VERB PART VERB	12.518518518518519	40	14
ADP NUM PROPN NUM PUNCT	12.565217391304348	20	3
PUNCT PROPN PUNCT PROPN PROPN PUNCT NOUN CCONJ NOUN PUNCT	13.37037037037037	23	4
PUNCT NOUN PUNCT PROPN PROPN PUNCT NOUN CCONJ NOUN PUNCT	13.5	21	3
PUNCT PROPN PUNCT PUNCT NOUN PUNCT	13.764044943820224	27	62
ADP ADV NUM NOUN	14.142857142857142	22	55
AUX DET PROPN VERB	14.214953271028037	73	34
DET ADJ PUNCT	14.545454545454545	435	555
ADP PRON NOUN PUNCT	14.875420875420875	344	250
ADJ NOUN CCONJ ADJ NOUN PUNCT NOUN PUNCT PUNCT VERB VERB	15.0	0	15
CCONJ ADJ NOUN PUNCT	15.018927444794953	193	124
NOUN ADP NOUN ADP NOUN ADP ADJ NOUN PUNCT NOUN CCONJ DET NOUN ADP NOUN PUNCT NOUN	15.210526315789474	18	1
ADP ADJ NOUN	15.344329896907217	424	546
DET PROPN AUX VERB	15.727891156462585	181	113
PRON ADV VERB DET NOUN	15.965601965601966	464	350
NOUN PUNCT PUNCT PUNCT PROPN PUNCT PROPN DET NOUN PUNCT	16.03030303030303	5	28
PUNCT NOUN PUNCT X	16.133333333333333	26	4
VERB NOUN PUNCT VERB VERB	16.530054644808743	64	119
DET NOUN AUX VERB	16.80166912125675	926	1111
ADJ NOUN PUNCT NOUN NUM PUNCT VERB PROPN	17.0	17	0
PRON AUX VERB SCONJ PRON	17.253521126760564	177	107
PART AUX DET NOUN	17.442906574394463	180	109
PRON AUX	17.48633879781421	143	223
ADJ NOUN PUNCT NOUN NUM PUNCT PUNCT VERB VERB	18.0	0	18
NOUN CCONJ VERB	18.187891440501044	545	413
ADP PROPN NUM PUNCT	18.253333333333334	56	19
PRON VERB PRON ADV	18.398009950248756	158	244
PART AUX ADV ADJ	18.512820512820515	58	20
ADJ NOUN	18.531827515400412	291	196
ADP ADJ PUNCT	18.74599542334096	501	373
PUNCT PUNCT ADJ PUNCT PROPN DET NOUN PUNCT	19.0	0	19
PUNCT SYM PUNCT PROPN DET NOUN PUNCT	19.0	0	19
PART AUX VERB	19.259541984732824	240	153
PROPN AUX VERB	19.444444444444443	161	91
AUX ADV ADJ PUNCT	19.48872180451128	169	97
PROPN ADP DET NOUN PUNCT PUNCT	19.51219512195122	61	21
ADP DET PUNCT	19.78827361563518	393	528
ADJ NOUN PUNCT	20.05860805860806	620	472
ADP ADJ ADJ NOUN PUNCT	20.099667774086377	356	246
ADP NOUN PUNCT	20.31905961376994	1301	1081
PART VERB CCONJ VERB	20.979310344827585	184	106
DET X CCONJ NOUN	21.0	0	21
AUX AUX	21.09964412811388	102	179
DET NUM SYM NOUN	21.16	24	1
ADP NOUN CCONJ ADJ NOUN	21.56659619450317	186	287
DET PROPN ADV VERB	21.760233918128655	116	55
PUNCT NOUN PUNCT	21.940639269406393	625	470
AUX DET PRON NOUN	21.951219512195124	52	112
PUNCT PROPN PUNCT PROPN PROPN PUNCT PROPN PUNCT NOUN CCONJ NOUN PUNCT	22.0	22	0
PRON AUX ADV VERB	22.432545201668983	423	296
DET ADV ADJ NOUN PUNCT	22.563758389261746	190	108
ADP DET ADJ VERB NOUN	22.853088480801336	241	358
PART VERB	22.871244635193133	153	80
AUX DET ADV ADJ NOUN	23.0	138	69
PUNCT DET PUNCT PROPN DET NOUN PUNCT	23.14814814814815	1	26
DET ADJ NOUN	23.632790028763182	443	600
ADJ NOUN CCONJ NOUN	23.650168728908888	517	372
NOUN CCONJ ADJ NOUN	23.714570858283434	305	196
ADP DET PRON ADJ NOUN	23.752688172043012	139	233
SCONJ DET PROPN NOUN	23.757575757575758	94	38
NOUN ADP NOUN CCONJ NOUN PUNCT VERB PROPN	24.02857142857143	32	3
AUX VERB ADP DET NOUN	24.14118336262449	955	752
SCONJ PROPN PROPN VERB PUNCT	24.2	39	6
PRON AUX DET ADJ NOUN	24.442404006677798	360	239
NUM SYM NUM PUNCT	25.137931034482758	28	1
AUX ADJ	25.320251177394034	255	382
ADP DET ADJ CCONJ ADJ NOUN	25.81265206812652	154	257
ADJ CCONJ ADJ NOUN PUNCT	27.008928571428573	279	169
ADP DET VERB NOUN PUNCT	27.58249158249158	233	361
ADP DET ADJ ADJ NOUN PUNCT	27.84090909090909	282	422
NOUN VERB ADJ NOUN PUNCT VERB PROPN	28.0	28	0
CCONJ DET NOUN	28.27102803738318	399	564
VERB AUX AUX PUNCT	28.571428571428573	33	93
NOUN CCONJ NOUN	29.453097345132743	347	218
PUNCT PROPN PUNCT PROPN DET NOUN PUNCT	29.453333333333333	14	61
PART ADV VERB	29.58490566037736	81	25
ADP NUM PUNCT	29.681388012618296	207	110
PUNCT PROPN PUNCT PROPN	29.752136752136753	88	29
AUX ADJ PART VERB	29.77094972067039	126	53
ADP DET NOUN PUNCT PUNCT PUNCT CCONJ PUNCT PROPN DET NOUN PUNCT	30.0	0	30
ADP DET VERB NOUN	30.00595238095238	265	407
ADV ADJ PUNCT	30.032258064516128	228	361
ADP PROPN CCONJ	30.449838187702266	203	106
ADP VERB NOUN PUNCT	30.641638225255974	226	360
PUNCT DET NOUN AUX ADP NUM NOUN VERB CCONJ ADP NUM NOUN VERB PUNCT	31.0	0	31
PUNCT DET NOUN AUX VERB ADP NUM NOUN CCONJ VERB ADP NUM NOUN PUNCT	31.0	31	0
NOUN ADP DET NOUN ADP DET ADJ NOUN PUNCT VERB VERB	31.36	22	78
VERB NOUN ADP DET NOUN PUNCT PUNCT PUNCT PROPN PUNCT	32.0	0	32
ADP NOUN ADP DET PROPN PROPN PUNCT PUNCT	32.0	77	21
ADJ PART AUX PUNCT	32.98039215686274	22	80
PRON AUX ADJ SCONJ	33.47107438016529	166	76
NOUN DET NOUN PUNCT NOUN CCONJ NOUN PUNCT	33.62	59	141
ADJ PUNCT PUNCT PUNCT PROPN PUNCT PRON VERB	34.0	0	34
PUNCT PROPN PUNCT PROPN DET NOUN PUNCT NOUN CCONJ NOUN PUNCT	34.38095238095238	2	40
PRON ADP DET VERB NOUN PUNCT VERB VERB	34.78260869565217	3	43
PROPN SCONJ ADV VERB PUNCT VERB PROPN	35.0	35	0
ADP PRON PUNCT	35.115606936416185	327	192
PRON SCONJ NUM NOUN	35.266666666666666	7	53
PROPN CCONJ PROPN	35.592592592592595	85	23
NOUN ADP NOUN NOUN	36.03719357565512	1037	1329
DET PROPN PART	36.1	118	42
DET NOUN AUX ADJ PUNCT	36.43601895734597	273	149
AUX DET VERB NOUN	36.76502732240437	125	241
PART VERB SCONJ	37.14009661835749	269	145
NOUN ADP NOUN ADP NOUN ADP DET NOUN PUNCT DET NOUN CCONJ DET NOUN	37.16129032258065	7	55
ADP PROPN CCONJ PROPN PUNCT	37.72268907563025	93	26
DET NOUN AUX ADV VERB	37.76433121019108	391	237
NOUN ADP DET NOUN PUNCT PUNCT PUNCT NOUN PUNCT	37.8	21	84
NOUN ADP NOUN CCONJ NOUN NOUN PUNCT VERB PROPN	38.0	38	0
ADP NOUN PUNCT PUNCT PUNCT PROPN PUNCT	38.76146788990825	87	22
PRON AUX DET NOUN	39.44980443285528	890	644
ADJ NOUN AUX	39.73866923818708	417	620
NOUN ADP NOUN VERB ADP DET NOUN PUNCT VERB PROPN	40.09090909090909	43	1
AUX DET ADJ NOUN	40.26918918918919	366	559
NOUN AUX VERB	40.71406959152799	777	545
PRON ADV VERB PART VERB	41.02564102564103	118	38
ADJ PUNCT PUNCT PUNCT PROPN PUNCT	41.08888888888889	1	44
CCONJ DET ADJ NOUN	41.191881918819185	315	498
SCONJ NOUN PROPN	41.25714285714286	32	108
NUM NUM NUM	42.32	48	2
ADP DET PROPN PROPN PROPN CCONJ	42.705882352941174	84	18
ADP DET X CCONJ NOUN	43.08510638297872	1	46
X CCONJ NOUN	43.08510638297872	1	46
NUM NUM	43.2	96	24
PART NOUN AUX	44.02173913043478	137	47
ADJ AUX AUX PUNCT	44.055045871559635	60	158
AUX PART ADV VERB	44.30769230769231	50	2
PUNCT CCONJ PUNCT NOUN DET NOUN PUNCT	44.58730158730159	5	58
ADP NOUN PART NOUN	44.621247113163975	286	147
PRON AUX PUNCT ADV PUNCT	44.83132530120482	72	11
ADP NOUN ADP DET PROPN PROPN PUNCT PUNCT PUNCT PROPN PUNCT PROPN PROPN PUNCT	45.0	45	0
PUNCT CCONJ PUNCT PROPN DET NOUN PUNCT	45.0	0	45
ADP NUM NOUN	45.343434343434346	131	265
SCONJ PRON AUX VERB	46.57462686567164	347	189
ADV ADV PUNCT	46.76243093922652	454	270
DET NOUN ADP DET PROPN NOUN	46.91558441558441	393	223
SCONJ DET NOUN AUX	47.02332361516035	108	235
ADP DET NOUN PUNCT PUNCT PUNCT PROPN PUNCT PROPN DET NOUN PUNCT	48.0	0	48
PART VERB PRON	48.675555555555555	299	151
NOUN ADP ADJ NOUN PUNCT VERB PROPN	49.0	60	4
PRON AUX ADV AUX VERB	49.02127659574468	142	46
NOUN ADP DET VERB NOUN PUNCT VERB VERB	50.26086956521739	12	80
NOUN ADP PROPN ADP ADJ NOUN PUNCT VERB PROPN	51.0	51	0
ADP DET ADJ ADJ NOUN	51.130434782608695	192	360
AUX ADJ PUNCT	51.69635627530364	180	67
ADP NOUN ADP DET PROPN PUNCT PROPN PROPN PUNCT PUNCT	52.07142857142857	55	1
PRON VERB SCONJ PRON	52.3416149068323	162	321
AUX VERB ADP ADJ NOUN	52.40845070422535	411	228
NOUN ADP PROPN CCONJ PROPN	52.77777777777778	133	38
ADP PROPN PUNCT	55.673499267935576	439	244
ADP ADJ	55.74193548387097	114	258
SCONJ VERB CCONJ VERB	56.22522522522522	95	16
SCONJ DET ADJ NOUN	57.75107296137339	350	582
SYM	57.81751824817518	24	113
PUNCT DET NOUN AUX VERB ADP NUM NOUN PUNCT	58.51428571428571	67	3
ADJ NOUN CCONJ VERB	59.73968253968254	412	218
ADP DET VERB ADP NOUN PUNCT	61.2	238	442
DET PROPN PROPN	61.45454545454545	140	36
PRON AUX ADV ADJ PUNCT	62.22857142857143	206	74
ADJ NOUN AUX AUX VERB ADP	63.51757188498402	227	86
PUNCT PROPN PUNCT NOUN DET NOUN PUNCT	64.53333333333333	16	104
PRON AUX ADV ADJ PART VERB	65.82857142857142	118	22
PROPN PROPN CCONJ PROPN PROPN PUNCT	66.1304347826087	85	7
PART ADJ NOUN	66.4572864321608	157	42
SCONJ DET PROPN PROPN	67.12429378531074	143	34
PRON AUX AUX ADV ADJ	67.24	91	9
ADP ADJ NOUN PUNCT	68.37717121588089	972	640
PRON VERB SCONJ DET NOUN	68.8896103896104	205	411
PUNCT DET NOUN AUX ADP NUM NOUN VERB PUNCT	70.2051282051282	2	76
NOUN ADP NOUN NOUN PUNCT	71.98072980729808	1429	1010
X X	72.0	0	72
PRON AUX DET ADJ NOUN PUNCT	72.05263157894737	330	145
AUX VERB ADP	72.11807228915663	294	121
CCONJ DET VERB ADP NOUN	72.46718146718146	61	198
ADP DET NOUN ADP ADJ NOUN	72.84271022383545	653	1000
PROPN PROPN PROPN	72.96103896103897	130	24
PRON AUX PART	73.92307692307692	105	12
DET NOUN ADP NOUN CCONJ NOUN	75.8220502901354	377	657
NOUN AUX AUX VERB ADP	76.16346153846153	297	119
PART NOUN	76.78816199376946	239	82
SCONJ PRON ADV ADJ AUX	76.8	12	108
AUX DET NOUN	77.5125786163522	479	793
CCONJ VERB DET NOUN	77.83372921615202	549	293
PROPN PART NOUN	78.68085106382979	90	4
ADP PRON NOUN	81.64251207729468	284	544
AUX PART	81.75675675675676	129	19
PROPN PROPN	81.7872340425532	156	32
PART AUX ADJ	82.97142857142858	171	39
PRON AUX AUX ADJ PART VERB	83.37894736842105	92	3
AUX AUX ADJ	84.32116788321167	213	61
PRON AUX PART ADV VERB	86.04444444444445	89	1
ADP DET ADJ NOUN ADP DET ADJ NOUN PUNCT	87.0806142034549	154	367
AUX VERB ADP NOUN	89.47249774571686	712	397
NUM SYM	91.66101694915254	111	7
PROPN PROPN PART NOUN	93.34285714285714	102	3
PUNCT PROPN PUNCT	94.78117048346056	293	100
ADP DET ADJ NOUN	96.38610038610038	360	676
NOUN ADP NOUN PUNCT VERB PROPN	100.41791044776119	125	9
DET ADJ	101.19263456090651	82	271
PROPN PROPN PROPN PUNCT	101.44025157232704	143	16
ADP DET VERB ADP NOUN	103.06238532110092	154	391
NUM PUNCT	105.19047619047619	145	380
DET NOUN	106.9403453689168	188	449
PUNCT	110.20627802690584	477	861
SCONJ ADV	110.74145616641901	200	473
PROPN PUNCT PROPN PUNCT	112.28070175438596	194	34
AUX PART ADJ PUNCT	113.288	122	3
AUX PRON VERB	115.76905574516496	280	599
PRON AUX ADJ PUNCT	116.54354354354355	265	68
PRON AUX ADV VERB PART VERB	117.63905325443787	155	14
DET PROPN PART NOUN	117.63905325443787	155	14
PRON AUX AUX ADJ	119.37696335078535	171	20
AUX PRON ADV ADV	120.19678714859438	38	211
NOUN CCONJ NOUN NOUN PUNCT	121.0	546	238
NOUN PUNCT VERB PROPN	121.93048128342247	169	18
PART VERB PRON NOUN	122.36029411764706	401	143
ADJ VERB AUX PUNCT	124.0506329113924	9	149
PRON AUX ADJ PART VERB	125.52107279693486	221	40
PRON ADV VERB	125.57720057720057	199	494
PART VERB PUNCT	126.67021276595744	753	375
NOUN PUNCT	130.06924101198402	972	530
AUX PART AUX VERB	131.27272727272728	164	12
ADP DET NOUN CCONJ NOUN	131.52631578947367	306	663
ADP PROPN PROPN	132.46529562982005	308	81
SCONJ ADV NOUN VERB	133.26126126126127	25	197
ADP DET ADJ	135.5766016713092	203	515
SCONJ PRON ADJ AUX	137.0097087378641	19	187
AUX PRON ADV ADJ	137.66415094339624	37	228
ADP DET PROPN PROPN CCONJ	139.53153153153153	199	23
PRON VERB PRON	142.9877750611247	580	238
ADP DET PROPN PROPN	143.24274406332455	306	73
ADP DET NOUN PUNCT	144.4675130694548	1028	1650
PUNCT PROPN PUNCT PROPN PROPN PUNCT	147.43820224719101	170	8
PROPN PROPN AUX VERB	147.84615384615384	210	24
PROPN PROPN PUNCT	154.2987012987013	263	45
DET PROPN NOUN	156.17529880478088	391	111
PRON AUX VERB	156.37731958762888	966	489
DET PROPN PROPN PART NOUN	156.8	174	6
DET NOUN CCONJ NOUN ADP	156.8010152284264	296	689
PRON AUX AUX VERB	161.80172413793105	369	95
PROPN PROPN PROPN PROPN PUNCT	165.14285714285714	228	24
ADP NOUN	171.07915273132664	620	1174
ADP	178.30103806228374	351	805
DET NOUN PART NOUN	180.5	408	104
SCONJ PRON AUX PART VERB	181.5	207	9
ADV AUX DET NOUN	184.05144291091594	207	590
ADP DET NOUN ADP DET ADJ NOUN PUNCT	186.28880526810912	309	754
DET PROPN PROPN PROPN	186.7556270096463	276	35
DET VERB NOUN ADP DET NOUN	192.08	380	870
PRON AUX VERB PART VERB	195.21290322580646	278	32
ADJ ADJ AUX PUNCT	197.39655172413794	9	223
PART ADJ NOUN PUNCT	203.11576846307386	410	91
ADP DET NOUN ADP DET PROPN PROPN	203.67513611615246	443	108
ADP DET PROPN PROPN PROPN PUNCT	207.0501567398119	288	31
VERB PRON PUNCT	207.30769230769232	550	165
AUX VERB PUNCT	208.5673336938886	614	1235
ADP DET DET NOUN PUNCT	208.7868338557994	255	702
DET PROPN PROPN VERB	216.84149184149183	367	62
SCONJ PRON AUX ADJ	221.3894389438944	281	22
AUX	221.5924764890282	131	507
ADP PART VERB	231.9109461966605	289	789
ADP PROPN PROPN PUNCT	232.996015936255	422	80
PRON AUX PART VERB	234.93121693121694	338	40
DET PROPN PROPN AUX VERB	236.67857142857142	309	27
X PUNCT	237.22321428571428	387	61
AUX PART VERB	237.36398467432952	437	85
PRON VERB DET NOUN	237.39903653151345	1630	861
PART VERB DET ADJ NOUN	245.54851485148515	754	256
PART VERB DET NOUN	247.31330472103005	993	405
PRON AUX PART ADJ	253.06130268199234	259	2
SCONJ PRON	266.2232304900181	84	467
PART NOUN PUNCT	266.6928104575163	508	104
PART VERB ADJ NOUN	272.09470752089135	580	138
ADV AUX PRON	278.3529411764706	56	420
SCONJ VERB	291.4150197628459	445	61
ADP DET ADJ NOUN ADP NOUN	294.7852348993289	531	1257
ADP DET PROPN PROPN PUNCT	296.2695374800638	529	98
PRON ADJ AUX	303.59528130671504	71	480
ADJ AUX PUNCT	327.5378421900161	85	536
ADJ	341.17495987158907	297	949
PRON VERB PART VERB	356.65634674922603	563	83
SCONJ DET NOUN	372.4468546637744	168	754
ADP DET VERB ADP DET NOUN	373.6869009584665	284	968
PRON DET VERB	375.06005221932116	115	651
DET NOUN ADP NOUN	380.0165990409443	848	1863
PRON AUX VERB PART VERB DET NOUN	381.1634408602151	443	22
ADV PUNCT	383.61686746987954	1229	431
ADP DET NOUN	385.7137216189536	571	1455
ADP DET NOUN CCONJ DET NOUN	412.74084507042255	201	864
DET NOUN SCONJ VERB	432.4630071599045	720	118
SCONJ VERB DET NOUN	473.5928934010152	834	151
ADP DET NOUN ADP NOUN	497.71512560128275	453	1418
ADP DET DET NOUN	527.6290531776913	320	1222
VERB	548.2060985570379	1127	2546
NOUN	558.7765927589111	2487	1076
ADP DET VERB	561.4097902097902	267	1163
ADP DET NOUN ADP DET NOUN PUNCT	568.4628272251309	434	1476
PRON NOUN VERB PUNCT	662.1006842619746	100	923
ADP PART VERB PUNCT	707.7551867219917	69	895
ADJ VERB PUNCT	1016.3771712158809	166	1446
PRON	1240.9372579395817	396	2186
ADV	1275.6309077269318	1362	3970
DET NOUN VERB	1292.5245621529261	1111	3571
